1000 [0.06931472, 0.6931472, 6.931472, 0.06931472]
2000 [6.768e-02, 6.877e-01, 7.111e+00, 6.938e-02]
3000 [6.011e-02, 6.851e-01, 7.146e+00, 6.939e-02]
4000 [4.966e-02, 6.704e-01, 7.204e+00, 6.943e-02]
5000 [3.736e-02, 6.678e-01, 7.397e+00, 6.949e-02]
6000 [2.536e-02, 6.523e-01, 7.737e+00, 6.958e-02]
7000 [1.994e-02, 6.477e-01, 7.810e+00, 6.972e-02]
8000 [1.663e-02, 7.915e-01, 8.578e+00, 6.996e-02]
9000 [1.638e-02, 1.081e+00, 1.003e+01, 7.027e-02]
10000 [1.804e-02, 1.522e+00, 1.201e+01, 7.066e-02]
11000 [1.647e-02, 1.871e+00, 1.527e+01, 7.122e-02]
12000 [1.436e-02, 2.414e+00, 1.908e+01, 7.229e-02]
13000 [1.128e-02, 3.116e+00, 2.263e+01, 7.401e-02]
14000 [9.243e-03, 3.295e+00, 2.650e+01, 7.688e-02]
15000 [8.287e-03, 2.860e+00, 3.033e+01, 8.266e-02]
16000 [8.114e-03, 2.441e+00, 3.523e+01, 9.295e-02]
17000 [6.916e-03, 2.077e+00, 4.070e+01, 1.121e-01]
18000 [6.553e-03, 1.863e+00, 4.354e+01, 1.158e-01]
19000 [5.873e-03, 1.863e+00, 4.354e+01, 1.158e-01]
20000 [5.227e-03, 1.863e+00, 4.352e+01, 1.158e-01]
21000 [4.700e-03, 1.868e+00, 4.342e+01, 1.158e-01]
22000 [4.588e-03, 1.881e+00, 4.324e+01, 1.158e-01]
23000 [4.549e-03, 1.883e+00, 4.320e+01, 1.158e-01]
24000 [4.182e-03, 1.874e+00, 4.319e+01, 1.158e-01]
25000 [4.177e-03, 1.891e+00, 4.276e+01, 1.159e-01]
26000 [4.073e-03, 1.896e+00, 4.222e+01, 1.159e-01]
27000 [4.735e-03, 1.904e+00, 4.113e+01, 1.159e-01]
28000 [4.690e-03, 1.801e+00, 4.060e+01, 1.160e-01]
29000 [4.801e-03, 1.603e+00, 4.117e+01, 1.161e-01]
30000 [4.745e-03, 1.422e+00, 4.381e+01, 1.164e-01]
31000 [4.490e-03, 1.084e+00, 4.901e+01, 1.167e-01]
32000 [4.000e-03, 8.036e-01, 5.183e+01, 1.173e-01]
33000 [4.072e-03, 8.920e-01, 4.873e+01, 1.185e-01]
34000 [3.408e-03, 9.228e-01, 4.609e+01, 1.206e-01]
35000 [2.464e-03, 8.185e-01, 4.735e+01, 1.242e-01]
36000 [1.976e-03, 7.774e-01, 4.243e+01, 1.294e-01]
37000 [1.672e-03, 6.809e-01, 3.842e+01, 1.372e-01]
38000 [1.427e-03, 6.396e-01, 3.620e+01, 1.483e-01]
39000 [1.282e-03, 6.357e-01, 3.493e+01, 1.632e-01]
40000 [2.052e-03, 4.417e-01, 4.152e+01, 1.756e-01]
41000 [2.365e-03, 4.406e-01, 4.153e+01, 1.756e-01]
42000 [2.298e-03, 4.399e-01, 4.153e+01, 1.756e-01]
43000 [2.265e-03, 4.393e-01, 4.152e+01, 1.756e-01]
